Year,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
1983,273,266,264,259,265,256,319,298,268
1984,296,285,280,275,286,278,344,321,288
1985,313,309,298,298,303,299,350,344,308
1986,313,309,298,298,303,299,350,344,326
1987,358,340,333,335,343,325,397,406,346
1988,374,365,347,349,360,350,414,423,362
1989,380,380,380,380,380,380,460,460,380
1990,420,420,380,380,420,380,460,500,420
1991,420,420,380,380,420,380,460,500,430
1992,460,460,420,420,460,420,500,500,460
1993,500,460,420,460,460,420,540,540,460
1994,500,500,460,460,500,420,540,540,460
1995,500,500,460,460,460,460,500,580,500
1996,500,500,460,460,460,460,500,580,500
1997,529.6,512,500,500,504,490,600,600,512.01
1998,550,520,502.66,500,525,490,600,600.47,530
1999,600,550,513,525,550,504.75,602.44,650,550
2000,600,579.08,550,558,560,527.43,672.59,710.35,581.79
2001,618,600,565,570,575,550,667,700,600
2002,650,604.02,600,600,615,550,700,750,615
2003,670,623.87,600,609.51,620,600,691.45,779.31,635
2004,691.62,650,645,637.61,650,600,770.07,800,651
2005,700,700,671,670.15,700,606.4,750,824.8,700
2006,750,720,700,700,720,650,800,920,730
2007,780,757,750,720,800,680,850,1000,769
2008,825,796.55,800,750,890,720,900,1000,800
2009,845.74,800,842.44,769,874,765,1000,1057,831
2010,900,849.31,850,804,959.51,769,1000,1056.64,868
2011,900,871.08,900,846,1000,800,1000,1100,900
2012,947,900,947,900,1021.15,825,1050,1171.02,947
2013,950,900,950,900,1045.34,842.39,1100,1210.62,950
2014,1000,948.92,982.7,924.58,1127.6,863.52,1261.2,1200,1000
2015,1000,950,1000,958,1089,879,1200,1250,1000
2016,1000,1000,1000,951,1100,900,1250,1250,1000
2017,1050,1000,1000,975,1103.96,950,1202.25,1299,1019
2018,1071,1069,1050,1000,1189,974.94,1250,1300,1075
2019,1150,1072.12,1057,1010,1200,1000,1204,1299.27,1100
2020,1150,1150,1096,1052.73,1250,1000,1200,1428.48,1150
2021,1249,1182.1,1141.6,1100,1250,1004.23,1343.96,1468.63,1200
2022,1246,1250,1208.95,1125,1324.31,1081.97,1400,1500,1248
2023,1339.41,1280,1300,1200,1339.32,1209.58,1426.91,1550,1300
